Function,"Symbol, Signal, Signal Date/Price[$]",ticker,asset_type,business_type,signal_timeframe,bq_raw,valuation_tax,conviction_raw,conviction_score,fs_score,fs_class,yield_trap_warning,verdict,sizing_pct,rationale
FRACTAL TRACK,"PPH, Long, 2026-05-15 (Price: 100.84)",PPH,ETF,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
DELTADRIFT,"VGT, Long, 2026-05-15 (Price: 113.31)",VGT,ETF,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
TRENDPULSE,"^GSPC, Long, 2026-05-15 (Price: 7408.5)",^GSPC,INDEX,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=INDEX
TRENDPULSE,"BNS.TO, Long, 2026-05-15 (Price: 106.16)",BNS.TO,EQUITY,unknown,short,0.0,0.0,0.0,0.0,50.0,moderate,False,CANCEL BUY,0.0,BQ 0.0 + valuation tax 0.0 = 0.0 | FS class moderate
TRENDPULSE,"CSCO, Long, 2026-05-15 (Price: 118.21)",CSCO,EQUITY,compounder,short,3.0,-5.0,-2.0,-2.0,43.5,moderate,False,CANCEL BUY,0.0,BQ 3.0 + valuation tax -5.0 = -2.0 | FS class moderate
TRENDPULSE,"SPY, Long, 2026-05-15 (Price: 739.17)",SPY,ETF,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
TRENDPULSE,"TD, Long, 2026-05-15 (Price: 107.64)",TD,EQUITY,compounder,short,-1.0,-5.0,-6.0,-6.0,33.5,moderate_low,False,CANCEL BUY,0.0,BQ -1.0 + valuation tax -5.0 = -6.0 | FS class moderate_low
TRENDPULSE,"IMO.TO, Long, 2026-05-15 (Price: 185.26)",IMO.TO,EQUITY,cyclical,short,4.5,-4.0,0.5,0.5,60.25,moderate_high,False,CANCEL BUY,0.0,BQ 4.5 + valuation tax -4.0 = 0.5 | FS class moderate_high
TRENDPULSE,"SUNPHARMA.NS, Long, 2026-05-15 (Price: 1878.2)",SUNPHARMA.NS,EQUITY,compounder,short,6.5,-5.0,1.5,1.5,60.25,moderate_high,False,CANCEL BUY,0.0,BQ 6.5 + valuation tax -5.0 = 1.5 | FS class moderate_high
TRENDPULSE,"CNQ.TO, Long, 2026-05-15 (Price: 66.08)",CNQ.TO,EQUITY,cyclical,short,5.0,-4.0,1.0,1.0,67.5,moderate_high,False,CANCEL BUY,0.0,BQ 5.0 + valuation tax -4.0 = 1.0 | FS class moderate_high
FRACTAL TRACK,"ATD.TO, Long, 2026-05-15 (Price: 78.46)",ATD.TO,EQUITY,compounder,short,2.0,0.0,2.0,2.0,68.0,moderate_high,False,REDUCED BUY,25.0,BQ 2.0 + valuation tax 0.0 = 2.0 | FS class moderate_high
TRENDPULSE,"CSU.TO, Long, 2026-05-14 (Price: 2533.1499)",CSU.TO,EQUITY,saas,short,3.0,-1.0,2.0,2.0,62.5,moderate_high,False,REDUCED BUY,25.0,BQ 3.0 + valuation tax -1.0 = 2.0 | FS class moderate_high
DELTADRIFT,"BAC, Long, 2026-05-14 (Price: 49.85)",BAC,EQUITY,compounder,short,0.0,-2.0,-2.0,-2.0,55.0,moderate_high,False,CANCEL BUY,0.0,BQ 0.0 + valuation tax -2.0 = -2.0 | FS class moderate_high
OSCILLATOR DELTA,"CSU.TO, Long, 2026-05-14 (Price: 2533.1499)",CSU.TO,EQUITY,saas,short,3.0,-1.0,2.0,2.0,62.5,moderate_high,False,REDUCED BUY,25.0,BQ 3.0 + valuation tax -1.0 = 2.0 | FS class moderate_high
TRENDPULSE,"NVDA, Long, 2026-05-14 (Price: 235.74)",NVDA,EQUITY,compounder,short,3.5,-5.0,-1.5,-1.5,44.75,moderate,False,CANCEL BUY,0.0,BQ 3.5 + valuation tax -5.0 = -1.5 | FS class moderate
